,index,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed,county_average_poverty-rate,county_average_population,county_average_pct-white,county_average_pct-af-am,county_average_pct-hispanic,county_average_pct-am-ind,county_average_pct-asian,county_average_pct-nh-pi,county_average_pct-multiple,county_average_pct-other,county_average_median-household-income,county_average_median-gross-rent,county_average_eviction-filing-rate,county_average_eviction-filings,county_average_median-property-value,county_average_evictions_x,county_average_rent-burden,county_average_renter-occupied-households,county_average_pct-renter-occupied,county_average_evictions_y,county_average_eviction-rate,poverty-rate_above_1,poverty-rate_above_5,poverty-rate_above_10,poverty-rate_above_25,poverty-rate_above_50,poverty-rate_above_75,pct-white_above_1,pct-white_above_5,pct-white_above_10,pct-white_above_25,pct-white_above_50,pct-white_above_75,pct-af-am_above_1,pct-af-am_above_5,pct-af-am_above_10,pct-af-am_above_25,pct-af-am_above_50,pct-af-am_above_75,rent-burden_above_1,rent-burden_above_5,rent-burden_above_10,rent-burden_above_25,rent-burden_above_50,rent-burden_above_75,pct-renter-occupied_above_1,pct-renter-occupied_above_5,pct-renter-occupied_above_10,pct-renter-occupied_above_25,pct-renter-occupied_above_50,pct-renter-occupied_above_75,eviction-filing-rate_above_1,eviction-filing-rate_above_5,eviction-filing-rate_above_10,eviction-filing-rate_above_25,eviction-filing-rate_above_50,eviction-filing-rate_above_75,county_average_poverty-rate_above_1,county_average_poverty-rate_above_5,county_average_poverty-rate_above_10,county_average_poverty-rate_above_25,county_average_poverty-rate_above_50,county_average_poverty-rate_above_75,county_average_pct-white_above_1,county_average_pct-white_above_5,county_average_pct-white_above_10,county_average_pct-white_above_25,county_average_pct-white_above_50,county_average_pct-white_above_75,county_average_pct-af-am_above_1,county_average_pct-af-am_above_5,county_average_pct-af-am_above_10,county_average_pct-af-am_above_25,county_average_pct-af-am_above_50,county_average_pct-af-am_above_75,county_average_rent-burden_above_1,county_average_rent-burden_above_5,county_average_rent-burden_above_10,county_average_rent-burden_above_25,county_average_rent-burden_above_50,county_average_rent-burden_above_75,county_average_pct-renter-occupied_above_1,county_average_pct-renter-occupied_above_5,county_average_pct-renter-occupied_above_10,county_average_pct-renter-occupied_above_25,county_average_pct-renter-occupied_above_50,county_average_pct-renter-occupied_above_75,county_average_eviction-filing-rate_above_1,county_average_eviction-filing-rate_above_5,county_average_eviction-filing-rate_above_10,county_average_eviction-filing-rate_above_25,county_average_eviction-filing-rate_above_50,county_average_eviction-filing-rate_above_75,true_label,score,predicted_label
1619,27941,4115.0,38.64,850.0,53.48,299.56,20015.63,57409.82,26.1,1.3,97.05,0.6,0.2,0.1,0.0,0.73,0.01,452.0,129.0,15.18,53.19,0,0,0,18.309032258064523,3244.032258064516,42.9083870967742,53.07032258064516,1.5029032258064516,0.4145161290322582,0.6196774193548387,0.05096774193548388,1.3170967741935484,0.11838709677419354,33615.07774193548,545.7048387096773,31.531935483870974,169.96774193548387,77231.59612903226,56.32258064516129,27.681290322580644,504.2903225806452,45.92967741935484,56.32258064516129,11.264193548387096,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1.0,0.9300699300699301,1
940,15990,5802.0,7.01,546.0,22.88,483.0,42469.0,95100.0,19.7,81.32,14.37,3.22,0.07,0.38,0.0,0.62,0.02,208.0,63.0,11.53,38.07,0,0,0,11.976249999999999,3859.063125,73.87062499999998,24.065625,1.21125,0.130625,0.171875,0.00375,0.5262500000000001,0.02,34969.913125,391.9375,8.259375,32.6875,79168.75375,15.0625,21.05,333.4375,19.948125000000005,15.0625,4.105,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0.0,0.9300699300699301,1
1621,27975,2159.0,26.32,385.0,49.61,551.0,24375.0,59100.0,27.8,1.71,96.34,0.56,0.05,0.05,0.0,1.07,0.23,162.0,76.0,19.76,42.12,0,0,0,18.309032258064523,3244.032258064516,42.9083870967742,53.07032258064516,1.5029032258064516,0.4145161290322582,0.6196774193548387,0.05096774193548388,1.3170967741935484,0.11838709677419354,33615.07774193548,545.7048387096773,31.531935483870974,169.96774193548387,77231.59612903226,56.32258064516129,27.681290322580644,504.2903225806452,45.92967741935484,56.32258064516129,11.264193548387096,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1.0,0.9300699300699301,1
1622,27992,1851.0,49.42,532.0,77.85,243.0,12306.0,80600.0,26.0,1.78,96.49,1.19,0.0,0.05,0.0,0.43,0.05,168.0,70.0,13.16,31.58,0,0,0,18.309032258064523,3244.032258064516,42.9083870967742,53.07032258064516,1.5029032258064516,0.4145161290322582,0.6196774193548387,0.05096774193548388,1.3170967741935484,0.11838709677419354,33615.07774193548,545.7048387096773,31.531935483870974,169.96774193548387,77231.59612903226,56.32258064516129,27.681290322580644,504.2903225806452,45.92967741935484,56.32258064516129,11.264193548387096,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0.0,0.9300699300699301,1
1623,28009,4662.0,21.16,901.0,48.35,532.0,29430.0,63300.0,31.7,69.24,23.7,2.3,0.94,0.92,0.02,2.6,0.28,433.0,178.0,19.75,48.04,0,0,0,18.309032258064523,3244.032258064516,42.9083870967742,53.07032258064516,1.5029032258064516,0.4145161290322582,0.6196774193548387,0.05096774193548388,1.3170967741935484,0.11838709677419354,33615.07774193548,545.7048387096773,31.531935483870974,169.96774193548387,77231.59612903226,56.32258064516129,27.681290322580644,504.2903225806452,45.92967741935484,56.32258064516129,11.264193548387096,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1.0,0.9300699300699301,1
1357,23096,7883.0,9.62,687.0,24.84,584.0,56750.0,135700.0,27.5,54.61,41.18,1.13,0.3,1.76,0.0,0.84,0.18,161.0,75.0,10.91,23.42,0,0,0,8.541219512195124,4858.146585365853,64.94658536585366,29.420243902439037,2.008536585365854,0.3660975609756097,1.688780487804878,0.045121951219512214,1.398048780487805,0.12658536585365854,49602.931463414636,699.830731707317,24.216341463414636,135.65853658536585,115314.07341463414,36.09756097560975,26.685853658536583,466.2926829268293,25.950000000000006,36.09756097560975,7.159999999999998,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1.0,0.9300699300699301,1
1627,28077,6396.0,14.79,369.0,23.64,509.0,40873.0,82300.0,28.8,3.03,94.76,0.52,0.33,0.03,0.05,1.28,0.0,203.0,52.0,14.08,54.98,0,0,0,18.309032258064523,3244.032258064516,42.9083870967742,53.07032258064516,1.5029032258064516,0.4145161290322582,0.6196774193548387,0.05096774193548388,1.3170967741935484,0.11838709677419354,33615.07774193548,545.7048387096773,31.531935483870974,169.96774193548387,77231.59612903226,56.32258064516129,27.681290322580644,504.2903225806452,45.92967741935484,56.32258064516129,11.264193548387096,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1.0,0.9300699300699301,1
695,11825,2043.0,6.86,284.0,45.67,760.0,39551.0,100700.0,23.9,57.66,27.75,4.16,0.49,7.93,0.0,1.66,0.34,102.0,34.0,11.98,35.94,0,0,0,6.111406249999999,4098.521093750001,69.106875,23.009374999999995,2.4440624999999994,0.3462499999999999,3.6384374999999998,0.02765625000000001,1.2615625,0.16531249999999992,52976.9290625,726.51484375,8359.49109375,190.515625,129619.77890625,56.1875,23.618750000000006,623.21875,32.75062499999999,56.1875,1049.453125,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1.0,0.9300699300699301,1
1629,28111,4576.0,10.53,1314.0,48.34,566.0,35264.0,85900.0,27.0,66.44,29.41,1.33,0.47,0.81,0.15,1.33,0.07,619.0,170.0,12.94,47.11,0,0,0,18.309032258064523,3244.032258064516,42.9083870967742,53.07032258064516,1.5029032258064516,0.4145161290322582,0.6196774193548387,0.05096774193548388,1.3170967741935484,0.11838709677419354,33615.07774193548,545.7048387096773,31.531935483870974,169.96774193548387,77231.59612903226,56.32258064516129,27.681290322580644,504.2903225806452,45.92967741935484,56.32258064516129,11.264193548387096,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1.0,0.9300699300699301,1
1778,30644,2109.0,9.65,296.0,33.03,665.0,38051.0,90600.0,22.0,77.29,12.33,4.08,0.38,3.08,0.0,2.61,0.24,82.0,35.0,11.82,27.7,0,0,0,6.195700000000001,4252.570300000001,69.44519999999996,17.80550000000001,4.121799999999999,0.34620000000000006,4.7556,0.08650000000000001,2.2248,0.21600000000000005,51351.2088,833.4131,15.679100000000004,107.09,133522.337,43.39,25.667399999999994,548.11,32.89299999999999,43.39,6.813999999999998,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0.0,0.9300699300699301,1
