,GEOID,true_label
0,51087200804,1.0
1,51041100205,1.0
2,51087201101,1.0
3,51730810500,1.0
4,51730811000,1.0
5,51760070601,1.0
6,51760060700,1.0
7,51760071002,1.0
8,51740212801,1.0
9,51700032224,1.0
10,51650010502,1.0
11,51700032006,1.0
12,51760071001,1.0
13,51760070900,1.0
14,51700030400,1.0
15,51730811200,1.0
16,51760060400,1.0
17,51760011100,1.0
18,51700032225,1.0
19,51700030900,1.0
20,51740212300,1.0
21,51700032124,1.0
22,51700030800,1.0
23,51700031200,1.0
24,51760070700,1.0
25,51730810900,1.0
26,51550020002,1.0
27,51670820300,1.0
28,51700032128,1.0
29,51760070801,1.0
30,51730810400,1.0
31,51810045406,1.0
32,51760060200,1.0
33,51710005901,1.0
34,51650010309,1.0
35,51700030600,1.0
36,51700032212,1.0
37,51760020200,1.0
38,51810044807,1.0
39,51740211800,1.0
40,51041100107,1.0
41,51700030300,1.0
42,51740212000,1.0
43,51730810300,1.0
44,51730811300,1.0
45,51760060500,1.0
46,51730811100,1.0
47,51760011000,1.0
48,51087201002,1.0
49,51041100404,1.0
50,51760020900,1.0
51,51041100300,1.0
52,51710006501,1.0
53,51700030500,1.0
54,51740212400,1.0
55,51740211700,1.0
56,51760010401,1.0
57,51670820600,1.0
58,51710002700,1.0
59,51760060800,1.0
60,51700032127,0.0
61,51740213101,1.0
62,51650010306,1.0
63,51760021200,1.0
64,51740211900,1.0
65,51730810600,1.0
66,51730810100,1.0
67,51730810700,1.0
68,51700032226,1.0
69,51700031100,1.0
70,51770000900,1.0
71,51041100819,1.0
72,51810040402,1.0
73,51760021000,1.0
74,51550021404,1.0
75,51710002900,1.0
76,51760010700,1.0
77,51760020400,1.0
78,51650010104,1.0
79,51760010800,1.0
80,51670820700,1.0
81,51710006100,1.0
82,51760010900,1.0
83,51700031400,1.0
84,51650010900,1.0
85,51700032123,0.0
86,51650011400,1.0
87,51670820400,1.0
88,51700032223,1.0
89,51650010800,1.0
90,51770001000,1.0
91,51740211500,1.0
92,51041100505,0.0
93,51760020300,1.0
94,51760061000,1.0
95,51041100701,0.0
96,51650012000,1.0
97,51740210200,1.0
98,51710003400,1.0
99,51740212701,1.0
100,51670820500,1.0
101,51087200410,0.0
102,51710006400,1.0
103,51740213104,1.0
104,51740212100,1.0
105,51760060900,0.0
106,51710006502,1.0
107,51041100405,1.0
108,51710005800,1.0
109,51760070602,1.0
110,51650011000,1.0
111,51650011900,1.0
112,51800075101,1.0
113,51740212702,1.0
114,51760010300,1.0
115,51650010702,1.0
116,51041100806,1.0
117,51740213103,1.0
118,51800065400,1.0
119,51650010602,1.0
120,51800075601,1.0
121,51041100508,1.0
122,51810046013,0.0
123,51087200123,0.0
124,51840000301,0.0
125,51760021100,1.0
126,51041100820,1.0
127,51650010701,1.0
128,51650011800,0.0
129,51700031702,0.0
130,51800065500,1.0
131,51153900901,1.0
132,51710001300,1.0
133,51700032131,1.0
134,51740212500,1.0
135,51760020100,1.0
136,51770002400,1.0
137,51760030100,1.0
138,51760010402,1.0
139,51550020300,1.0
140,51041100406,0.0
141,51710001100,0.0
142,51740213002,1.0
143,51740211400,1.0
144,51650011600,1.0
145,51087980100,1.0
146,51760010500,1.0
147,51550020200,1.0
148,51710003300,0.0
149,51710003501,1.0
150,51760010600,1.0
151,51087201202,1.0
152,51670820100,1.0
153,51041100805,0.0
154,51710003200,1.0
155,51700031601,1.0
156,51087201403,1.0
157,51740211100,0.0
158,51700031602,0.0
